ENERGY/MEV , Li(11BH4-xDx x~64%) T.lt.3 BACK , ERR/B , Li(11BH4-xDx x~64%) T.lt.3 FORWARD , ERR/F , Li(11BH4-xDx x~64%) T.lt.3  , ERR/T
699.241 , 0.0139432 , 0.00476413 , 0.0142450 , 0.00482938 , 0.0140929 , 0.00339163
702.737 , 0.0195479 , 0.00565631 , 0.0218636 , 0.00603149 , 0.0206965 , 0.00413240
706.251 , 0.0198886 , 0.00567714 , 0.0208695 , 0.00581852 , 0.0203751 , 0.00406397
709.782 , 0.0232825 , 0.00611242 , 0.0210662 , 0.00580010 , 0.0221832 , 0.00421506
713.331 , 0.0158468 , 0.00504004 , 0.0185334 , 0.00547840 , 0.0171793 , 0.00371970
716.897 , 0.0143137 , 0.00488512 , 0.0160694 , 0.00509552 , 0.0151845 , 0.00352840
720.482 , 0.0173652 , 0.00535322 , 0.00843120 , 0.00372216 , 0.0129339 , 0.00326921
724.084 , 0.0196817 , 0.00571087 , 0.00869349 , 0.00378199 , 0.0142316 , 0.00343560
727.705 , 0.0243890 , 0.00634879 , 0.0110581 , 0.00430570 , 0.0177769 , 0.00384702
731.343 , 0.0240001 , 0.00624694 , 0.0162107 , 0.00518628 , 0.0201366 , 0.00406571
735.000 , 0.0210574 , 0.00586655 , 0.0150802 , 0.00499628 , 0.0180927 , 0.00385793
738.675 , 0.0187319 , 0.00553269 , 0.0155477 , 0.00508594 , 0.0171526 , 0.00376022
742.368 , 0.0162246 , 0.00515476 , 0.0143425 , 0.00482673 , 0.0152910 , 0.00353286
746.080 , 0.0181354 , 0.00543657 , 0.0156940 , 0.00505493 , 0.0169245 , 0.00371403
749.811 , 0.0214136 , 0.00591962 , 0.0165895 , 0.00523040 , 0.0190208 , 0.00395366
753.560 , 0.0188411 , 0.00556910 , 0.0103349 , 0.00415212 , 0.0146220 , 0.00348132
757.328 , 0.0166694 , 0.00531969 , 0.0132813 , 0.00467472 , 0.0149889 , 0.00354466
761.114 , 0.0136864 , 0.00481366 , 0.0185163 , 0.00550659 , 0.0160820 , 0.00365318
764.920 , 0.0150309 , 0.00503296 , 0.0166192 , 0.00529628 , 0.0158187 , 0.00365175
768.744 , 0.0139085 , 0.00478164 , 0.0118347 , 0.00448836 , 0.0128799 , 0.00328084
772.588 , 0.0144482 , 0.00487829 , 0.0160896 , 0.00524670 , 0.0152623 , 0.00358012
776.451 , 0.0122929 , 0.00452707 , 0.0131265 , 0.00464762 , 0.0127064 , 0.00324344
780.333 , 0.0116423 , 0.00444768 , 0.0156664 , 0.00510145 , 0.0136382 , 0.00338045
784.235 , 0.0114023 , 0.00440525 , 0.0282972 , 0.00693057 , 0.0197822 , 0.00409223
788.156 , 0.0141932 , 0.00486528 , 0.0204834 , 0.00590221 , 0.0173131 , 0.00381877
792.097 , 0.0190060 , 0.00567683 , 0.0172602 , 0.00545572 , 0.0181401 , 0.00393810
796.057 , 0.0149840 , 0.00500656 , 0.0229891 , 0.00631586 , 0.0189545 , 0.00402252
800.038 , 0.0108569 , 0.00428461 , 0.0123685 , 0.00459963 , 0.0116067 , 0.00314134
804.038 , 0.0100356 , 0.00416729 , 0.0175889 , 0.00544110 , 0.0137820 , 0.00341976
808.058 , 0.0152318 , 0.00510993 , 0.0175288 , 0.00546756 , 0.0163711 , 0.00373994
812.098 , 0.0149665 , 0.00503554 , 0.0154606 , 0.00511633 , 0.0152115 , 0.00358900
816.159 , 0.0203550 , 0.00591193 , 0.0197649 , 0.00583223 , 0.0200623 , 0.00415287
820.240 , 0.0179132 , 0.00555822 , 0.0172270 , 0.00541635 , 0.0175728 , 0.00388135
824.341 , 0.0165000 , 0.00532509 , 0.0204059 , 0.00593919 , 0.0184373 , 0.00398510
828.462 , 0.0163295 , 0.00530902 , 0.0210771 , 0.00605618 , 0.0186843 , 0.00402279
832.605 , 0.0219364 , 0.00619483 , 0.0165156 , 0.00533942 , 0.0192477 , 0.00409412
836.768 , 0.0194866 , 0.00576463 , 0.0128159 , 0.00469013 , 0.0161780 , 0.00372195
840.952 , 0.0184122 , 0.00560373 , 0.0141256 , 0.00496815 , 0.0162860 , 0.00374818
845.156 , 0.0133021 , 0.00478723 , 0.0163583 , 0.00534889 , 0.0148180 , 0.00358610
849.382 , 0.0150127 , 0.00512493 , 0.0236935 , 0.00650153 , 0.0193184 , 0.00413168
853.629 , 0.0160039 , 0.00529628 , 0.0161835 , 0.00537905 , 0.0160930 , 0.00377406
857.897 , 0.0127993 , 0.00469613 , 0.0169729 , 0.00547211 , 0.0148694 , 0.00360121
862.187 , 0.0170754 , 0.00543242 , 0.0211861 , 0.00606150 , 0.0191143 , 0.00406637
866.498 , 0.0179105 , 0.00556345 , 0.0205840 , 0.00602410 , 0.0192366 , 0.00409758
870.830 , 0.0166894 , 0.00539939 , 0.0161113 , 0.00534371 , 0.0164027 , 0.00379875
875.184 , 0.0165501 , 0.00531959 , 0.0171324 , 0.00554644 , 0.0168389 , 0.00384140
879.560 , 0.0157053 , 0.00518873 , 0.0148524 , 0.00515444 , 0.0152822 , 0.00365719
883.958 , 0.0151903 , 0.00511955 , 0.0176143 , 0.00561618 , 0.0163926 , 0.00379703
888.378 , 0.0167947 , 0.00539063 , 0.0150340 , 0.00520024 , 0.0159214 , 0.00374624
892.820 , 0.0117565 , 0.00450912 , 0.00646546 , 0.00339190 , 0.00913215 , 0.00282756
