# Column  Unit    Quantity
# ------  ------  --------
#      1  us      time-of-flight
#      2  counts  counts per us corrected for vanadium rod absorption
#      3  A       wavelength
#      4  counts  counts per us uncorrected for absorption
#      5          transmission
#
Bank 1     DetNum 17
      612.900      -19.189       0.1312      -17.981       0.9371
      615.400      -19.613       0.1317      -18.378       0.9370
      617.900      -20.810       0.1322      -19.499       0.9370
      620.400      -21.284       0.1328      -19.943       0.9370
      622.900      -20.449       0.1333      -19.160       0.9370
      625.400      -17.409       0.1338      -16.312       0.9370
      627.900      -15.693       0.1344      -14.704       0.9370
      630.400      -14.729       0.1349      -13.800       0.9369
      632.900      -15.082       0.1354      -14.131       0.9369
      635.400      -18.182       0.1360      -17.035       0.9369
      637.900      -18.320       0.1365      -17.163       0.9369
      640.500      -18.003       0.1371      -16.867       0.9369
      643.100      -18.495       0.1376      -17.327       0.9368
      645.700      -19.754       0.1382      -18.506       0.9368
      648.300      -20.117       0.1387      -18.846       0.9368
      650.900      -20.207       0.1393      -18.930       0.9368
      653.500      -19.829       0.1398      -18.575       0.9368
      656.100      -20.278       0.1404      -18.995       0.9368
      658.700      -18.840       0.1410      -17.648       0.9367
      661.300      -20.701       0.1415      -19.391       0.9367
      663.900      -18.947       0.1421      -17.748       0.9367
      666.600      -15.308       0.1426      -14.339       0.9367
      669.300      -15.104       0.1432      -14.148       0.9367
      672.000      -15.986       0.1438      -14.973       0.9367
      674.700      -15.839       0.1444      -14.835       0.9366
      677.400      -19.296       0.1450      -18.073       0.9366
      680.100      -20.673       0.1455      -19.362       0.9366
      682.800      -19.356       0.1461      -18.128       0.9366
      685.500      -16.728       0.1467      -15.667       0.9366
      688.200      -16.672       0.1473      -15.614       0.9365
      691.000      -15.326       0.1479      -14.354       0.9365
      693.800      -13.561       0.1485      -12.700       0.9365
      696.600      -13.137       0.1491      -12.302       0.9365
      699.400      -10.481       0.1497       -9.815       0.9365
      702.200      -11.868       0.1503      -11.114       0.9365
      705.000      -15.869       0.1509      -14.860       0.9364
      707.800      -13.614       0.1515      -12.748       0.9364
      710.600      -10.988       0.1521      -10.289       0.9364
      713.400       -9.118       0.1527       -8.538       0.9364
      716.300       -8.520       0.1533       -7.978       0.9364
      719.200      -10.140       0.1539       -9.494       0.9363
      722.100      -10.143       0.1545       -9.497       0.9363
      725.000      -12.633       0.1551      -11.828       0.9363
      727.900      -14.133       0.1558      -13.232       0.9363
      730.800      -17.781       0.1564      -16.647       0.9363
      733.700      -19.978       0.1570      -18.704       0.9362
      736.600      -18.052       0.1576      -16.901       0.9362
      739.500      -18.169       0.1582      -17.010       0.9362
      742.500      -18.280       0.1589      -17.113       0.9362
      745.500      -17.261       0.1595      -16.159       0.9362
      748.500      -15.952       0.1602      -14.933       0.9361
      751.500      -15.164       0.1608      -14.195       0.9361
      754.500      -13.022       0.1615      -12.190       0.9361
      757.500      -11.636       0.1621      -10.892       0.9361
      760.500      -11.306       0.1627      -10.583       0.9361
      763.500      -11.490       0.1634      -10.755       0.9360
      766.600      -11.801       0.1640      -11.046       0.9360
      769.700      -15.615       0.1647      -14.615       0.9360
      772.800      -18.938       0.1654      -17.726       0.9360
      775.900      -19.276       0.1660      -18.041       0.9360
