##Some comment
#q(1/A)	R	Err
0.2	7.21736e-006	0
0.19964	5.79966e-006	0
0.19928	8.07076e-006	0
0.19892	1.11453e-005	0
0.19856	1.11453e-005	0
0.1982	1.13375e-005	0
0.19784	1.56817e-005	0
0.19748	1.82899e-005	0
0.19712	1.57557e-005	0
0.19676	1.11438e-005	0
0.1964	1.11438e-005	0
0.19604	1.11438e-005	0
0.19568	7.74403e-006	0
0.19532	3.02206e-006	0
0.19496	0	0
0.1946	0	0
0.19424	0	0
0.19388	0	0
0.19352	0	0
0.19316	0	0
0.1928	0	0
0.19244	0	0
0.19208	0	0
0.19172	0	0
0.19136	0	0
0.191	0	0
0.19064	0	0
0.19028	0	0
0.18992	2.20572e-006	0
0.18956	6.44748e-006	0
0.1892	1.29405e-005	0
0.18884	1.87407e-005	0
0.18848	2.31557e-005	0
0.18812	3.06212e-005	0
0.18776	3.82243e-005	0
0.1874	4.37733e-005	0
0.18704	3.99134e-005	0
0.18668	4.18697e-005	0
0.18632	4.77686e-005	0
0.18596	5.08935e-005	0
0.1856	4.26212e-005	0
0.18524	3.99409e-005	0
0.18488	3.72071e-005	0
0.18452	2.80111e-005	0
0.18416	1.55644e-005	0
0.1838	1.02088e-005	0
0.18344	1.39829e-005	0
0.18308	2.38187e-005	0
0.18272	3.97684e-005	0
0.18236	5.63613e-005	0
0.182	7.50394e-005	0
0.18164	8.86032e-005	0
0.18128	8.76401e-005	0
0.18092	7.7733e-005	0
0.18056	6.77355e-005	0
0.1802	5.2554e-005	0
0.17984	3.62578e-005	0
0.17948	2.57156e-005	0
0.17912	2.89095e-005	0
0.17876	3.43277e-005	0
0.1784	4.09385e-005	0
0.17804	4.6194e-005	0
0.17768	4.67437e-005	0
0.17732	3.88289e-005	0
0.17696	2.80333e-005	0
0.1766	2.37155e-005	0
0.17624	3.00207e-005	0
0.17588	4.01431e-005	0
0.17552	5.23821e-005	0
0.17516	6.42441e-005	0
0.1748	6.32475e-005	0
0.17444	5.51467e-005	0
0.17408	4.04887e-005	0
0.17372	2.59798e-005	0
0.17336	1.42332e-005	0
0.173	5.36772e-006	0
0.17264	1.81884e-006	0
0.17228	5.31662e-006	0
0.17192	1.36828e-005	0
0.17156	2.15907e-005	0
0.1712	3.20232e-005	0
0.17084	3.93731e-005	0
0.17048	4.10886e-005	0
0.17012	4.26554e-005	0
0.16976	4.67529e-005	0
0.1694	4.94952e-005	0
0.16904	5.41938e-005	0
0.16868	5.83774e-005	0
0.16832	5.55864e-005	0
0.16796	4.72837e-005	0
0.1676	3.62602e-005	0
0.16724	2.58833e-005	0
0.16688	1.89785e-005	0
0.16652	1.44741e-005	0
0.16616	1.18009e-005	0
0.1658	8.46587e-006	0
0.16544	5.2591e-006	0
0.16508	2.42873e-006	0
0.16472	7.34583e-006	0
0.16436	1.70303e-005	0
0.164	2.95126e-005	0
0.16364	4.33666e-005	0
0.16328	5.39537e-005	0
0.16292	5.7959e-005	0
0.16256	5.77829e-005	0
0.1622	5.01868e-005	0
0.16184	3.95156e-005	0
0.16148	2.81145e-005	0
0.16112	1.60448e-005	0
0.16076	9.41605e-006	0
0.1604	4.93766e-006	0
0.16004	6.33641e-006	0
0.15968	1.50757e-005	0
0.15932	2.58336e-005	0
0.15896	3.65871e-005	0
0.1586	4.98181e-005	0
0.15824	5.3421e-005	0
0.15788	5.59615e-005	0
0.15752	5.98279e-005	0
0.15716	5.63817e-005	0
0.1568	5.52101e-005	0
0.15644	5.09316e-005	0
0.15608	4.51423e-005	0
0.15572	3.86082e-005	0
0.15536	3.96117e-005	0
0.155	3.7676e-005	0
0.15464	3.30368e-005	0
0.15428	3.53265e-005	0
0.15392	3.10389e-005	0
0.15356	3.21218e-005	0
0.1532	3.36092e-005	0
0.15284	3.3228e-005	0
0.15248	4.02674e-005	0
0.15212	4.69672e-005	0
0.15176	5.10588e-005	0
0.1514	5.50262e-005	0
0.15104	5.43773e-005	0
0.15068	4.86881e-005	0
0.15032	3.7389e-005	0
0.14996	2.22183e-005	0
0.1496	1.40493e-005	0
0.14924	1.86709e-005	0
0.14888	2.94893e-005	0
0.14852	4.1264e-005	0
0.14816	4.54267e-005	0
0.1478	4.63789e-005	0
0.14744	4.94023e-005	0
0.14708	5.37604e-005	0
0.14672	5.8871e-005	0
0.14636	6.56013e-005	0
0.146	5.97898e-005	0
0.14564	5.17474e-005	0
0.14528	3.97591e-005	0
0.14492	2.80114e-005	0
0.14456	2.75213e-005	0
0.1442	2.60616e-005	0
0.14384	2.39971e-005	0
0.14348	2.41448e-005	0
0.14312	2.90763e-005	0
0.14276	3.41985e-005	0
0.1424	3.8602e-005	0
0.14204	3.60285e-005	0
0.14168	3.67199e-005	0
0.14132	4.02861e-005	0
0.14096	4.35153e-005	0
0.1406	4.40435e-005	0
0.14024	3.75508e-005	0
0.13988	3.35017e-005	0
0.13952	3.63103e-005	0
0.13916	4.56993e-005	0
0.1388	5.34949e-005	0
0.13844	5.66137e-005	0
0.13808	6.12017e-005	0
0.13772	6.47741e-005	0
0.13736	6.75123e-005	0
0.137	6.49191e-005	0
0.13664	6.37778e-005	0
0.13628	6.23549e-005	0
0.13592	5.53115e-005	0
0.13556	5.50103e-005	0
0.1352	4.95207e-005	0
0.13484	4.89511e-005	0
0.13448	3.9883e-005	0
0.13412	4.52002e-005	0
0.13376	4.37436e-005	0
0.1334	4.66532e-005	0
0.13304	4.56463e-005	0
0.13268	5.85472e-005	0
0.13232	6.58049e-005	0
0.13196	6.62056e-005	0
0.1316	6.20529e-005	0
0.13124	6.03171e-005	0
0.13088	5.66221e-005	0
0.13052	4.66117e-005	0
0.13016	3.28738e-005	0
0.1298	2.21027e-005	0
0.12944	2.23565e-005	0
0.12908	2.01721e-005	0
0.12872	2.75637e-005	0
0.12836	3.82075e-005	0
0.128	4.94493e-005	0
0.12764	4.95217e-005	0
0.12728	5.22733e-005	0
0.12692	5.71804e-005	0
0.12656	6.36467e-005	0
0.1262	6.90174e-005	0
0.12584	7.82991e-005	0
0.12548	8.23945e-005	0
0.12512	8.38832e-005	0
0.12476	7.78781e-005	0
0.1244	7.367e-005	0
0.12404	6.45134e-005	0
0.12368	6.22257e-005	0
0.12332	5.69384e-005	0
0.12296	5.39282e-005	0
0.1226	4.64366e-005	0
0.12224	4.72078e-005	0
0.12188	5.20751e-005	0
0.12152	4.88194e-005	0
0.12116	4.62647e-005	0
0.1208	4.6647e-005	0
0.12044	5.54906e-005	0
0.12008	5.53226e-005	0
0.11972	5.66787e-005	0
0.11936	5.38419e-005	0
0.119	5.07468e-005	0
0.11864	5.67365e-005	0
0.11828	5.69343e-005	0
0.11792	4.6776e-005	0
0.11756	3.91155e-005	0
0.1172	4.13103e-005	0
0.11684	4.93566e-005	0
0.11648	6.20674e-005	0
0.11612	7.62267e-005	0
0.11576	8.01328e-005	0
0.1154	7.86996e-005	0
0.11504	7.38733e-005	0
0.11468	7.33566e-005	0
0.11432	8.30544e-005	0
0.11396	9.76943e-005	0
0.1136	0.000103343	0
0.11324	0.000105683	0
0.11288	0.000105434	0
0.11252	8.69817e-005	0
0.11216	6.06271e-005	0
0.1118	5.60619e-005	0
0.11144	5.86772e-005	0
0.11108	5.71224e-005	0
0.11072	5.3446e-005	0
0.11036	4.92459e-005	0
0.11	5.57356e-005	0
0.10964	6.77073e-005	0
0.10928	6.67029e-005	0
0.10892	7.17549e-005	0
0.10856	8.0988e-005	0
0.1082	7.56315e-005	0
0.10784	8.00054e-005	0
0.10748	7.50113e-005	0
0.10712	5.57694e-005	0
0.10676	5.35487e-005	0
0.1064	5.17756e-005	0
0.10604	4.60837e-005	0
0.10568	5.53856e-005	0
0.10532	6.55445e-005	0
0.10496	7.05523e-005	0
0.1046	6.06808e-005	0
0.10424	5.75887e-005	0
0.10388	6.64893e-005	0
0.10352	8.32004e-005	0
0.10316	0.000109412	0
0.1028	0.000121862	0
0.10244	0.000129973	0
0.10208	0.00011515	0
0.10172	0.000110302	0
0.10136	9.52e-005	0
0.101	7.18478e-005	0
0.10064	7.26181e-005	0
0.10028	7.29665e-005	0
0.09992	7.68955e-005	0
0.09956	7.89305e-005	0
0.0992	0.000105967	0
0.09884	0.000116734	0
0.09848	0.000111549	0
0.09812	0.00011193	0
0.09776	0.000114124	0
0.0974	0.000119762	0
0.09704	0.000124381	0
0.09668	0.000115611	0
0.09632	0.000112186	0
0.09596	8.62114e-005	0
0.0956	6.44115e-005	0
0.09524	5.77226e-005	0
0.09488	5.69708e-005	0
0.09452	7.932e-005	0
0.09416	8.95333e-005	0
0.0938	0.000100355	0
0.09344	0.000115031	0
0.09308	0.000117157	0
0.09272	0.00011907	0
0.09236	9.86405e-005	0
0.092	0.000111293	0
0.09164	0.000125764	0
0.09128	0.00013004	0
0.09092	0.000127589	0
0.09056	0.000127177	0
0.0902	0.000136276	0
0.08984	0.000131729	0
0.08948	0.000139201	0
0.08912	0.000116877	0
0.08876	0.000122317	0
0.0884	0.000142399	0
0.08804	0.000150374	0
0.08768	0.000125964	0
0.08732	0.000121124	0
0.08696	0.000118576	0
0.0866	0.000133073	0
0.08624	0.000116841	0
0.08588	0.000101221	0
0.08552	0.000109356	0
0.08516	0.000120464	0
0.0848	0.000136989	0
0.08444	0.000142458	0
0.08408	0.000157505	0
0.08372	0.000140615	0
0.08336	0.000149676	0
0.083	0.000119656	0
0.08264	0.000121035	0
0.08228	0.000144296	0
0.08192	0.000138145	0
0.08156	0.000117637	0
0.0812	0.000154097	0
0.08084	0.000182431	0
0.08048	0.000197494	0
0.08012	0.000184685	0
0.07976	0.000151131	0
0.0794	0.000131136	0
0.07904	0.0001392	0
0.07868	0.000167637	0
